DATE_OF_INTEREST,Cases,7-day average,INCOMPLETE,BASELINE
02/29/2020,1,null,null,0
03/01/2020,0,null,null,0
03/02/2020,0,null,null,0
03/03/2020,2,null,null,0
03/04/2020,5,null,null,0
03/05/2020,3,null,null,0
03/06/2020,8,3,null,0
03/07/2020,7,4,null,0
03/08/2020,21,7,null,0
03/09/2020,58,15,null,0
03/10/2020,70,25,null,0
03/11/2020,155,46,null,0
03/12/2020,357,97,null,0
03/13/2020,620,184,null,0
03/14/2020,644,275,null,0
03/15/2020,1036,420,null,0
03/16/2020,2122,715,null,0
03/17/2020,2453,1055,null,0
03/18/2020,2976,1458,null,0
03/19/2020,3708,1937,null,0
03/20/2020,4009,2421,null,0
03/21/2020,2637,2706,null,0
03/22/2020,2580,2926,null,0
03/23/2020,3572,3134,null,0
03/24/2020,4506,3427,null,0
03/25/2020,4864,3697,null,0
03/26/2020,5052,3889,null,0
03/27/2020,5129,4049,null,0
03/28/2020,3477,4169,null,0
03/29/2020,3561,4309,null,0
03/30/2020,6134,4675,null,0
03/31/2020,5472,4813,null,0
04/01/2020,5464,4898,null,0
04/02/2020,5769,5001,null,0
04/03/2020,5675,5079,null,0
04/04/2020,3867,5135,null,0
04/05/2020,3793,5168,null,0
04/06/2020,6377,5202,null,0
04/07/2020,6064,5287,null,0
04/08/2020,5587,5305,null,0
04/09/2020,5073,5205,null,0
04/10/2020,4517,5040,null,0
04/11/2020,3732,5020,null,0
04/12/2020,2890,4891,null,0
04/13/2020,3311,4453,null,0
04/14/2020,4147,4180,null,0
04/15/2020,3878,3935,null,0
04/16/2020,3530,3715,null,0
04/17/2020,3584,3582,null,0
04/18/2020,2173,3359,null,0
04/19/2020,2346,3281,null,0
04/20/2020,3793,3350,null,0
04/21/2020,3065,3196,null,0
04/22/2020,3462,3136,null,0
04/23/2020,2843,3038,null,0
04/24/2020,2539,2889,null,0
04/25/2020,1595,2806,null,0
04/26/2020,1003,2614,null,0
04/27/2020,2298,2401,null,0
04/28/2020,2729,2353,null,0
04/29/2020,2342,2193,null,0
04/30/2020,2024,2076,null,0
05/01/2020,1889,1983,null,0
05/02/2020,1060,1906,null,0
05/03/2020,785,1875,null,0
05/04/2020,1551,1769,null,0
05/05/2020,1513,1595,null,0
05/06/2020,1402,1461,null,0
05/07/2020,1235,1348,null,0
05/08/2020,1081,1232,null,0
05/09/2020,657,1175,null,0
05/10/2020,458,1128,null,0
05/11/2020,1233,1083,null,0
05/12/2020,1285,1050,null,0
05/13/2020,1336,1041,null,0
05/14/2020,1112,1023,null,0
05/15/2020,875,994,null,0
05/16/2020,488,970,null,0
05/17/2020,359,955,null,0
05/18/2020,900,908,null,0
05/19/2020,1004,868,null,0
05/20/2020,1075,830,null,0
05/21/2020,1072,825,null,0
05/22/2020,1061,851,null,0
05/23/2020,465,848,null,0
05/24/2020,479,865,null,0
05/25/2020,469,804,null,0
05/26/2020,1055,811,null,0
05/27/2020,746,764,null,0
05/28/2020,639,702,null,0
05/29/2020,645,643,null,0
05/30/2020,349,626,null,0
05/31/2020,217,589,null,0
06/01/2020,664,616,null,0
06/02/2020,574,548,null,0
06/03/2020,515,515,null,0
06/04/2020,512,497,null,0
06/05/2020,408,463,null,0
06/06/2020,248,448,null,0
06/07/2020,199,446,null,0
06/08/2020,445,414,null,0
06/09/2020,422,393,null,0
06/10/2020,365,371,null,0
06/11/2020,358,349,null,0
06/12/2020,411,350,null,0
06/13/2020,197,342,null,0
06/14/2020,184,340,null,0
06/15/2020,379,331,null,0
06/16/2020,424,331,null,0
06/17/2020,356,330,null,0
06/18/2020,371,332,null,0
06/19/2020,361,325,null,0
06/20/2020,205,326,null,0
06/21/2020,176,325,null,0
06/22/2020,395,327,null,0
06/23/2020,382,321,null,0
06/24/2020,382,325,null,0
06/25/2020,296,314,null,0
06/26/2020,313,307,null,0
06/27/2020,209,308,null,0
06/28/2020,201,311,null,0
06/29/2020,437,317,null,0
06/30/2020,445,326,null,0
07/01/2020,398,328,null,0
07/02/2020,413,345,null,0
07/03/2020,230,333,null,0
07/04/2020,120,321,null,0
07/05/2020,154,314,null,0
07/06/2020,438,314,null,0
07/07/2020,465,317,null,0
07/08/2020,436,322,null,0
07/09/2020,392,319,null,0
07/10/2020,312,331,null,0
07/11/2020,256,350,null,0
07/12/2020,222,360,null,0
07/13/2020,483,367,null,0
07/14/2020,400,357,null,0
07/15/2020,436,357,null,0
07/16/2020,414,360,null,0
07/17/2020,421,376,null,0
07/18/2020,219,371,null,0
07/19/2020,177,364,null,0
07/20/2020,398,352,null,0
07/21/2020,338,343,null,0
07/22/2020,330,328,null,0
07/23/2020,307,313,null,0
07/24/2020,305,296,null,0
07/25/2020,152,287,null,0
07/26/2020,139,281,null,0
07/27/2020,322,270,null,0
07/28/2020,312,267,null,0
07/29/2020,287,261,null,0
07/30/2020,270,255,null,0
07/31/2020,261,249,null,0
08/01/2020,185,254,null,0
08/02/2020,135,253,null,0
08/03/2020,354,258,null,0
08/04/2020,190,240,null,0
08/05/2020,312,244,null,0
08/06/2020,311,250,null,0
08/07/2020,266,250,null,0
08/08/2020,161,247,null,0
08/09/2020,133,247,null,0
08/10/2020,301,239,null,0
08/11/2020,261,249,null,0
08/12/2020,311,249,null,0
08/13/2020,265,243,null,0
08/14/2020,267,243,null,0
08/15/2020,143,240,null,0
08/16/2020,137,241,6000,0
08/17/2020,300,241,6000,0
08/18/2020,206,233,6000,0
08/19/2020,185,215,6000,0
08/20/2020,94,190,6000,0
08/21/2020,56,160,6000,0
08/22/2020,10,141,6000,0
