"hour","infra","br",
10,1,0,
11,1,0,
14,2,0,
11,1,6,
12,2,6,
13,1,6,
14,1,6,
15,1,6,
16,1,6,
17,2,6,
6,6,10,
7,7,10,
8,58,10,
9,121,10,
10,170,10,
11,166,10,
12,62,10,
13,36,10,
14,139,10,
15,301,10,
16,336,10,
17,170,10,
18,6,10,
9,14,20,
10,125,20,
11,86,20,
12,19,20,
14,4,20,
15,54,20,
16,133,20,
17,80,20,
18,8,20,
0,5,40,
2,1,40,
3,10,40,
4,1,40,
6,1,40,
7,23,40,
8,96,40,
9,525,40,
10,1553,40,
11,2265,40,
12,1252,40,
13,532,40,
14,1849,40,
15,2959,40,
16,2784,40,
17,1336,40,
18,312,40,
19,66,40,
20,28,40,
21,23,40,
22,8,40,
23,4,40,
0,2,50,
1,1,50,
2,1,50,
6,41,50,
7,115,50,
8,202,50,
9,434,50,
10,1060,50,
11,963,50,
12,203,50,
13,224,50,
14,371,50,
15,648,50,
16,732,50,
17,570,50,
18,149,50,
19,48,50,
20,24,50,
21,18,50,
22,6,50,
23,1,50,
7,125,60,
8,592,60,
9,1623,60,
10,2333,60,
11,1320,60,
12,135,60,
13,139,60,
14,539,60,
15,1692,60,
16,2577,60,
17,2224,60,
18,539,60,
19,73,60,
20,5,60,
21,4,60,
8,9,70,
9,102,70,
10,257,70,
11,183,70,
12,58,70,
13,42,70,
14,98,70,
15,203,70,
16,218,70,
17,106,70,
18,23,70,
8,1,80,
9,7,80,
10,6,80,
11,3,80,
13,1,80,
14,2,80,
15,14,80,
16,6,80,
17,2,80,
0,60,101,
1,70,101,
2,11,101,
3,9,101,
4,1,101,
5,18,101,
6,430,101,
7,911,101,
8,2069,101,
9,5116,101,
10,8870,101,
11,7140,101,
12,3134,101,
13,4277,101,
14,8652,101,
15,12464,101,
16,10764,101,
17,3805,101,
18,710,101,
19,379,101,
20,158,101,
21,123,101,
22,84,101,
23,78,101,
9,24,104,
10,74,104,
11,46,104,
13,4,104,
14,35,104,
15,73,104,
16,76,104,
17,11,104,
8,2,110,
9,36,110,
10,93,110,
11,76,110,
12,12,110,
13,57,110,
14,103,110,
15,83,110,
16,111,110,
17,19,110,
9,9,111,
10,48,111,
11,29,111,
0,5410,116,
1,4809,116,
2,4426,116,
3,4975,116,
4,5228,116,
5,5877,116,
6,8462,116,
7,12265,116,
8,17616,116,
9,28105,116,
10,35368,116,
11,32506,116,
12,23919,116,
13,23990,116,
14,30927,116,
15,36940,116,
16,32438,116,
17,14735,116,
18,6728,116,
19,4991,116,
20,4528,116,
21,4776,116,
22,4817,116,
23,5134,116,
7,3,135,
8,111,135,
9,240,135,
10,344,135,
11,327,135,
12,67,135,
13,21,135,
14,50,135,
15,55,135,
16,40,135,
17,21,135,
18,14,135,
8,5,146,
9,75,146,
10,170,146,
11,139,146,
12,25,146,
13,12,146,
14,44,146,
15,118,146,
16,119,146,
17,78,146,
18,21,146,
19,7,146,
20,7,146,
21,1,146,
0,8,153,
6,11,153,
7,46,153,
8,291,153,
9,1507,153,
10,3784,153,
11,3854,153,
12,915,153,
13,556,153,
14,1708,153,
15,3377,153,
16,4133,153,
17,3633,153,
18,911,153,
19,198,153,
20,30,153,
21,35,153,
22,10,153,
23,4,153,
6,2,155,
7,9,155,
9,6,155,
10,8,155,
11,19,155,
12,6,155,
14,2,155,
15,11,155,
16,20,155,
17,23,155,
18,8,155,
9,9,156,
10,6,156,
11,12,156,
12,1,156,
13,4,156,
14,3,156,
15,15,156,
16,36,156,
17,9,156,
18,1,156,
6,40,158,
7,223,158,
8,118,158,
9,213,158,
10,557,158,
11,432,158,
12,107,158,
13,35,158,
14,145,158,
15,330,158,
16,406,158,
17,230,158,
18,50,158,
19,18,158,
20,1,158,
21,1,158,
5,6,163,
6,66,163,
7,126,163,
8,851,163,
9,2406,163,
10,3041,163,
11,1436,163,
12,336,163,
13,748,163,
14,1893,163,
15,3222,163,
16,2887,163,
17,970,163,
18,233,163,
19,29,163,
20,5,163,
21,5,163,
22,4,163,
23,1,163,
7,1,174,
8,120,174,
9,314,174,
10,250,174,
11,128,174,
12,25,174,
13,20,174,
14,126,174,
15,277,174,
16,410,174,
17,262,174,
18,29,174,
8,7,210,
9,89,210,
10,134,210,
11,68,210,
12,23,210,
13,2,210,
14,20,210,
15,53,210,
16,136,210,
17,113,210,
18,21,210,
19,5,210,
7,1,222,
8,5,222,
9,50,222,
10,96,222,
11,90,222,
12,25,222,
13,18,222,
14,57,222,
15,129,222,
16,223,222,
17,120,222,
6,1,226,
7,5,226,
8,2,226,
9,25,226,
10,120,226,
11,132,226,
12,3,226,
13,8,226,
14,40,226,
15,179,226,
16,195,226,
17,68,226,
18,1,226,
6,6,230,
7,34,230,
8,107,230,
9,369,230,
10,595,230,
11,355,230,
12,22,230,
13,22,230,
14,197,230,
15,673,230,
16,981,230,
17,387,230,
18,13,230,
8,17,232,
9,314,232,
10,1111,232,
11,922,232,
12,79,232,
13,26,232,
14,113,232,
15,651,232,
16,1256,232,
17,336,232,
18,4,232,
8,25,235,
9,11,235,
10,60,235,
11,73,235,
12,16,235,
13,26,235,
14,54,235,
15,77,235,
16,94,235,
17,39,235,
8,6,242,
9,33,242,
10,148,242,
11,161,242,
12,7,242,
13,8,242,
14,58,242,
15,94,242,
16,129,242,
17,40,242,
18,3,242,
8,1,251,
9,26,251,
10,94,251,
11,69,251,
12,4,251,
13,8,251,
14,55,251,
15,77,251,
16,60,251,
17,60,251,
18,8,251,
19,3,251,
14,3,259,
15,3,259,
2,1,262,
3,12,262,
6,9,262,
7,54,262,
8,408,262,
9,1222,262,
10,1877,262,
