"infra","season","hour",
1504,0,0,
1278,0,1,
1097,0,2,
1266,0,3,
1337,0,4,
1572,0,5,
1977,0,6,
3416,0,7,
7210,0,8,
15042,0,9,
22463,0,10,
19097,0,11,
9005,0,12,
9171,0,13,
15469,0,14,
22466,0,15,
21727,0,16,
8684,0,17,
1479,0,18,
1356,0,19,
1436,0,20,
1442,0,21,
1437,0,22,
1442,0,23,
1337,1,0,
1227,1,1,
1119,1,2,
1216,1,3,
1231,1,4,
1482,1,5,
2656,1,6,
4313,1,7,
8776,1,8,
18271,1,9,
26406,1,10,
23653,1,11,
12030,1,12,
11550,1,13,
17786,1,14,
25131,1,15,
24509,1,16,
15790,1,17,
7072,1,18,
2720,1,19,
1173,1,20,
1255,1,21,
1227,1,22,
1332,1,23,
1375,2,0,
1235,2,1,
1124,2,2,
1325,2,3,
1444,2,4,
1467,2,5,
2583,2,6,
4463,2,7,
9059,2,8,
19618,2,9,
29893,2,10,
25205,2,11,
12415,2,12,
12419,2,13,
20593,2,14,
29126,2,15,
27816,2,16,
11475,2,17,
1562,2,18,
1318,2,19,
1392,2,20,
1325,2,21,
1289,2,22,
1260,2,23,
1351,3,0,
1203,3,1,
1143,3,2,
1244,3,3,
1284,3,4,
1497,3,5,
2180,3,6,
3160,3,7,
5208,3,8,
11361,3,9,
16341,3,10,
14588,3,11,
7522,3,12,
7578,3,13,
12437,3,14,
16487,3,15,
14858,3,16,
8138,3,17,
3709,3,18,
1670,3,19,
1224,3,20,
1217,3,21,
1201,3,22,
1341,3,23,

