"weekday","hour","infra",
"0",0,397,
"0",1,345,
"0",2,276,
"0",3,282,
"0",4,286,
"0",5,402,
"0",6,758,
"0",7,1272,
"0",8,2142,
"0",9,4046,
"0",10,5735,
"0",11,5256,
"0",12,2534,
"0",13,2491,
"0",14,3575,
"0",15,4988,
"0",16,5293,
"0",17,3299,
"0",18,1207,
"0",19,590,
"0",20,444,
"0",21,436,
"0",22,529,
"0",23,637,
"1",0,619,
"1",1,544,
"1",2,524,
"1",3,660,
"1",4,680,
"1",5,735,
"1",6,1208,
"1",7,2031,
"1",8,4174,
"1",9,9281,
"1",10,14038,
"1",11,12436,
"1",12,6431,
"1",13,6039,
"1",14,10036,
"1",15,14661,
"1",16,13803,
"1",17,6809,
"1",18,2226,
"1",19,1101,
"1",20,822,
"1",21,844,
"1",22,866,
"1",23,836,
"2",0,902,
"2",1,730,
"2",2,728,
"2",3,825,
"2",4,861,
"2",5,1025,
"2",6,1386,
"2",7,2252,
"2",8,4794,
"2",9,10643,
"2",10,15708,
"2",11,13074,
"2",12,6560,
"2",13,7085,
"2",14,12130,
"2",15,16041,
"2",16,14969,
"2",17,6813,
"2",18,2345,
"2",19,1227,
"2",20,877,
"2",21,887,
"2",22,860,
"2",23,923,
"3",0,935,
"3",1,846,
"3",2,783,
"3",3,884,
"3",4,940,
"3",5,1024,
"3",6,1647,
"3",7,2600,
"3",8,5344,
"3",9,10583,
"3",10,15982,
"3",11,13605,
"3",12,6864,
"3",13,6945,
"3",14,11276,
"3",15,16452,
"3",16,15483,
"3",17,7448,
"3",18,2148,
"3",19,1195,
"3",20,894,
"3",21,885,
"3",22,861,
"3",23,927,
"4",0,972,
"4",1,875,
"4",2,794,
"4",3,888,
"4",4,980,
"4",5,1039,
"4",6,1489,
"4",7,2380,
"4",8,4879,
"4",9,10882,
"4",10,15449,
"4",11,14243,
"4",12,7167,
"4",13,7444,
"4",14,12726,
"4",15,17055,
"4",16,16448,
"4",17,8038,
"4",18,2294,
"4",19,1213,
"4",20,937,
"4",21,899,
"4",22,874,
"4",23,915,
"5",0,910,
"5",1,842,
"5",2,726,
"5",3,862,
"5",4,913,
"5",5,973,
"5",6,1485,
"5",7,2568,
"5",8,5315,
"5",9,11996,
"5",10,17890,
"5",11,15803,
"5",12,7568,
"5",13,7113,
"5",14,11517,
"5",15,17426,
"5",16,16480,
"5",17,8156,
"5",18,2382,
"5",19,1065,
"5",20,825,
"5",21,827,
"5",22,792,
"5",23,786,
"6",0,832,
"6",1,761,
"6",2,652,
"6",3,650,
"6",4,636,
"6",5,820,
"6",6,1423,
"6",7,2249,
"6",8,3605,
"6",9,6861,
"6",10,10301,
"6",11,8126,
"6",12,3848,
"6",13,3601,
"6",14,5025,
"6",15,6587,
"6",16,6434,
"6",17,3524,
"6",18,1220,
"6",19,673,
"6",20,426,
"6",21,461,
"6",22,372,
"6",23,351,

